"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Depth","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Annotation.status","Annotation.area","CRB","MOG","WPOT","SC","LICHEN","SHAD","Unc","MAA","MAEN","MAG","MALCB","MAF","MAEF","MALA","SP"
"57","CO_GI_LV_MT_20181010_Q07.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,79,21,0,0,0,0,0,0,0,NA,NA,NA
"58","CO_GI_LV_MT_20181010_Q08.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,76,20,0,0,0,3,0,0,1,NA,NA,NA
"59","CO_GI_LV_MT_20181010_Q09.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,92,8,0,0,0,0,0,0,0,NA,NA,NA
"60","CO_GI_LV_MT_20181010_Q10.jpg","2018-10-10","Rocky shore","COLOMBIA","GORGONA ISLAND","LA VENTANA","MIDTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,6,0,76,15,0,0,0,3,0,0,0,NA,NA,NA
"61","CO_GI_PV_HT_20181012_Q01.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"62","CO_GI_PV_HT_20181012_Q02.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"63","CO_GI_PV_HT_20181012_Q03.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,2,0,98,0,0,0,0,0,0,0,0,NA,NA,NA
"64","CO_GI_PV_HT_20181012_Q04.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,0,0,100,0,0,0,0,0,0,0,0,NA,NA,NA
"65","CO_GI_PV_HT_20181012_Q05.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
"66","CO_GI_PV_HT_20181012_Q06.jpg","2018-10-12","Rocky shore","COLOMBIA","GORGONA ISLAND","PLAYA VERDE","HIGHTIDE",NA,NA,NA,NA,"CANON G16","Edgardo","Manual",2018,"50 x 50",NA,NA,"Confirmed","X: 0 - 100% / Y: 0 - 100%",0,1,0,99,0,0,0,0,0,0,0,0,NA,NA,NA
