Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PE_HT_20181125_Q03_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8583,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,0,0,0,0,92,6,0,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q04_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8597,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,0,0,0,0,93,3,1,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q05_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8601,Visual,X: 0 - 100% / Y: 0 - 100%,4,0,0,0,0,0,85,9,2,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q06_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8606,Visual,X: 0 - 100% / Y: 0 - 100%,9,0,0,0,0,0,86,5,0,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q07_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8607,Visual,X: 0 - 100% / Y: 0 - 100%,3,0,0,0,0,0,93,1,3,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q08_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8608,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,0,63,32,4,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q09_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8609,Visual,X: 0 - 100% / Y: 0 - 100%,11,0,0,0,0,0,61,11,17,0,0,0,0,0,0,0
AR_PM_PE_HT_20181125_Q10_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,HIGHTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8610,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,0,78,21,0,0,0,0,0,0,0,0
AR_PM_PE_MT_20181125_Q01_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8555,Visual,X: 0 - 100% / Y: 0 - 100%,5,90,0,0,0,0,2,0,2,0,0,1,0,0,0,0
AR_PM_PE_MT_20181125_Q02_visual,25/10/2018,Rocky shore,ARGENTINA,Puerto Madryn,PUNTA ESTE,MIDTIDE,,,,,NIKON COOLPIX AW130,Bigatti,INTERTIDAL,2018,50 x 50,,DSCN8557,Visual,X: 0 - 100% / Y: 0 - 100%,3,89,0,0,0,0,2,1,3,0,0,2,0,0,0,0
