Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Camera,Depth,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation status,Annotation area,MAEN,MAA,MAF,MAG,MOG,WPOT,CRB,SC
CO_GI_LV_MT_20181010_Q08.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,4,0,2,0,0,0,0,94
CO_GI_LV_MT_20181010_Q09.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,6,0,0,0,0,0,0,94
CO_GI_LV_MT_20181010_Q10.jpg,10/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,LA VENTANA,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,18,0,0,0,9,0,0,73
CO_GI_PV_HT_20181012_Q01.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_PV_HT_20181012_Q02.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_PV_HT_20181012_Q03.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,0,0,99
CO_GI_PV_HT_20181012_Q04.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_PV_HT_20181012_Q05.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,1,0,0,99
CO_GI_PV_HT_20181012_Q06.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,0,98
CO_GI_PV_HT_20181012_Q07.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,2,0,0,98
CO_GI_PV_HT_20181012_Q08.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,2,0,0,0,0,98
CO_GI_PV_HT_20181012_Q09.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_PV_HT_20181012_Q10.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,HIGHTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,0,0,100
CO_GI_PV_LT_20181012_Q01.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,23,0,0,0,0,0,0,77
CO_GI_PV_LT_20181012_Q02.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,35,0,0,0,0,1,0,64
CO_GI_PV_LT_20181012_Q03.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,41,0,0,0,0,0,0,59
CO_GI_PV_LT_20181012_Q04.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,17,11,0,0,0,0,0,72
CO_GI_PV_LT_20181012_Q05.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,8,4,0,0,0,1,1,86
CO_GI_PV_LT_20181012_Q06.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,20,1,0,0,0,0,0,79
CO_GI_PV_LT_20181012_Q07.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,61,0,0,0,0,0,0,39
CO_GI_PV_LT_20181012_Q08.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,63,0,0,0,0,0,0,37
CO_GI_PV_LT_20181012_Q09.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,79,0,0,0,0,0,0,21
CO_GI_PV_LT_20181012_Q10.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,LOWTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,66,0,0,0,0,0,0,34
CO_GI_PV_MT_20181012_Q01.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,2,0,0,0,0,48,0,50
CO_GI_PV_MT_20181012_Q02.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,2,0,98
CO_GI_PV_MT_20181012_Q03.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,0,0,0,0,0,86,0,14
CO_GI_PV_MT_20181012_Q04.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,34,0,21,0,0,6,0,39
CO_GI_PV_MT_20181012_Q05.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,13,0,0,0,0,5,0,82
CO_GI_PV_MT_20181012_Q06.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,1,0,0,0,0,0,0,99
CO_GI_PV_MT_20181012_Q07.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,16,0,0,0,0,8,0,76
CO_GI_PV_MT_20181012_Q08.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,25,0,0,0,0,25,0,50
CO_GI_PV_MT_20181012_Q09.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,7,0,0,0,0,28,0,65
CO_GI_PV_MT_20181012_Q10.jpg,12/10/2018,Rocky shore,COLOMBIA,GORGONA ISLAND,PLAYA VERDE,MIDTIDE,,,,CANON G16,,,,,50 x 50 ,,visual,Visual,X: 0 - 100% / Y: 0 - 100%,19,0,0,0,0,16,0,65
