"","Name","Date","habitat","country","locality","site","strata","Height..cm.","Latitude","Longitude","Camera","Photographer","Water.quality","Strobes","Framing.gear.used","White.balance.card","Comments","Depth"
"63","AR_PM_PL_HT_20181026_Q03_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"64","AR_PM_PL_HT_20181026_Q04_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"65","AR_PM_PL_HT_20181026_Q05_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"66","AR_PM_PL_HT_20181026_Q06_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"67","AR_PM_PL_HT_20181026_Q07_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"68","AR_PM_PL_HT_20181026_Q08_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"69","AR_PM_PL_HT_20181026_Q09_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"70","AR_PM_PL_HT_20181026_Q10_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","HIGHTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"71","AR_PM_PL_LT_20181026_Q01_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","LOWTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
"72","AR_PM_PL_LT_20181026_Q02_Random.jpg",2018-10-26,"ROCKY SHORE","ARGENTINA","PUERTO MADRYN","PUNTA LOMA","LOWTIDE",60,-42.8120275583333,-64.8917416066667,"COOLPIX AW130","Bigatti","INTERTIDAL",0,"50 X 50",0,"robot",NA
