Name,Annotation status,Annotation area,CNTR,CRB,MOB,SP,WPOT,SU,SC,MAA,MAEN,MAENRC,MAFG,MAFR,MAG,MALCB,MASB,MASG
AR_PM_PL_MT_20181026_Q03.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,3.000,42.000,0.000,0.000,0.000,16.000,8.000,9.000,0.000,19.000,0.000,0.000,0.000,0.000,3.000
AR_PM_PL_MT_20181026_Q04.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,8.000,53.000,0.000,0.000,0.000,9.000,3.000,20.000,0.000,6.000,0.000,0.000,0.000,0.000,1.000
AR_PM_PL_MT_20181026_Q05.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,89.000,0.000,0.000,0.000,1.000,6.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,2.000
AR_PM_PL_MT_20181026_Q06.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,3.000,84.000,0.000,0.000,0.000,3.000,2.000,3.000,0.000,2.000,0.000,0.000,0.000,0.000,3.000
AR_PM_PL_MT_20181026_Q07.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,77.000,0.000,0.000,0.000,1.000,16.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000
AR_PM_PL_MT_20181026_Q08.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,96.000,0.000,0.000,0.000,2.000,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
AR_PM_PL_MT_20181026_Q09.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,96.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
AR_PM_PL_MT_20181026_Q10.jpg,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,91.000,0.000,0.000,0.000,4.000,3.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
DSCN2633.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,91.000,0.000,0.000,0.000,1.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000
DSCN2634.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,80.000,0.000,0.000,0.000,2.000,6.000,4.000,0.000,3.000,0.000,0.000,0.000,0.000,4.000
DSCN2635.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,95.000,0.000,0.000,0.000,1.000,3.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
DSCN2636.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,87.000,0.000,0.000,0.000,1.000,5.000,4.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000
DSCN2637.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,2.000,89.000,0.000,0.000,0.000,2.000,1.000,2.000,0.000,3.000,0.000,0.000,0.000,0.000,1.000
DSCN2638.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,84.000,0.000,0.000,0.000,2.000,12.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,1.000
DSCN2639.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,95.000,0.000,0.000,0.000,4.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
DSCN2640.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,92.000,0.000,0.000,0.000,1.000,5.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000
DSCN2641.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,2.000,76.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
DSCN2642.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,83.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000
DSCN2643.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,90.000,0.000,0.000,0.000,2.000,8.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DSCN2644.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,87.000,0.000,0.000,0.000,0.000,11.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
DSCN2645.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,3.000,80.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,1.000
DSCN2646.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,90.000,0.000,0.000,0.000,0.000,10.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DSCN2647.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,5.000,75.000,0.000,0.000,0.000,5.000,2.000,13.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DSCN2648.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,93.000,0.000,0.000,0.000,5.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DSCN2659.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,0.000
DSCN2660.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,0.000
DSCN2661.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,0.000
DSCN2662.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,54.000,0.000,0.000,0.000,0.000,2.000
DSCN2663.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,44.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,0.000
DSCN2664.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,38.000,0.000,0.000,0.000,59.000,0.000,0.000,0.000,0.000,1.000
DSCN2665.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,46.000,0.000,0.000,0.000,0.000,3.000
DSCN2666.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,42.000,0.000,0.000,0.000,56.000,0.000,0.000,0.000,0.000,1.000
DSCN2667.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,6.000,0.000,0.000,0.000,52.000,0.000,1.000,0.000,40.000,0.000,0.000,0.000,0.000,1.000
DSCN2668.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,1.000,3.000,0.000,0.000,0.000,43.000,0.000,0.000,0.000,51.000,1.000,0.000,0.000,0.000,1.000
DSCN2669.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,3.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,41.000,1.000,0.000,0.000,0.000,0.000
DSCN2670.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,40.000,0.000,0.000,0.000,57.000,0.000,0.000,0.000,0.000,3.000
DSCN2671.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,78.000,0.000,0.000,0.000,0.000,1.000
DSCN2672.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,63.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,0.000
DSCN2673.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,61.000,0.000,0.000,0.000,37.000,0.000,0.000,0.000,0.000,0.000
DSCN2674.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,45.000,0.000,0.000,0.000,0.000,0.000
DSCN2685.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,0.000,22.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000
DSCN2686.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,2.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,52.000
DSCN2687.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,8.000,0.000,0.000,0.000,5.000,26.000,0.000,0.000,1.000,7.000,2.000,7.000,0.000,44.000
DSCN2688.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,5.000,0.000,0.000,0.000,4.000,21.000,0.000,0.000,0.000,1.000,1.000,1.000,0.000,67.000
DSCN2689.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,1.000,21.000,0.000,0.000,0.000,2.000,1.000,11.000,2.000,58.000
DSCN2690.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,5.000,0.000,0.000,0.000,1.000,20.000,0.000,0.000,0.000,2.000,2.000,4.000,1.000,65.000
DSCN2691.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,3.000,25.000,0.000,0.000,0.000,8.000,0.000,1.000,0.000,59.000
DSCN2692.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,1.000,33.000,0.000,0.000,0.000,4.000,2.000,1.000,0.000,55.000
DSCN2693.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,6.000,0.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,7.000,1.000,0.000,0.000,66.000
DSCN2694.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,1.000,0.000,0.000,0.000,2.000,26.000,0.000,0.000,0.000,8.000,0.000,1.000,0.000,62.000
DSCN2695.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,3.000,0.000,0.000,0.000,3.000,20.000,0.000,0.000,0.000,3.000,1.000,0.000,0.000,70.000
DSCN2696.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,3.000,0.000,0.000,0.000,1.000,27.000,0.000,0.000,0.000,5.000,0.000,3.000,0.000,61.000
DSCN2697.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,4.000,0.000,0.000,0.000,4.000,31.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,59.000
