Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Annotation.status,Annotation.area,CNTR.A,CRB.A,MOB.A,SP.A,WPOT.A,SU.A,SC.A,MAA.A,MAEN.A,MAENRC.A,MAFG.A,MAFR.A,MAG.A,MALCB.A,MASB.A,MASG.A,CRB,MOB,CNTR,SP,WPOT,SU,SC,MAFG,MAEN,MAENRC,MAFR,MAA,MAG,MASB,MASG,MALCB
AR_PM_PE_HT_20181025_Q01.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW70,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8585,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,9.00,0.00,0.00,0.00,0.00,68.00,0.00,6.00,0.00,17.00,0.00,0.00,0.00,0.00,0.00,11.00,1.00,0.00,0.00,0.00,0.00,84.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q02.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW71,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8586,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,2.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,58.00,0.00,0.00,0.00,0.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,89.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q03.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW72,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8583,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,9.00,0.00,0.00,0.00,0.00,82.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,92.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q04.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW73,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8597,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,1.00,0.00,0.00,0.00,0.00,88.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,93.00,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q05.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW74,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8601,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,91.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,85.00,9.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q06.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW75,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8606,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,74.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,0.00,9.00,0.00,0.00,0.00,0.00,0.00,86.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q07.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW76,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8607,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,4.00,0.00,0.00,0.00,0.00,86.00,1.00,6.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,93.00,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q08.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW77,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8608,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,63.00,32.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q09.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW78,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8609,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,55.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,61.00,11.00,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AR_PM_PE_HT_20181025_Q10.jpg,25/10/2018,ROCKY SHORE,ARGENTINA,PUERTO MADRYN,PUNTA ESTE,HIGHTIDE,60,-42.77986,-65.00171,,COOLPIX AW79,Bigatti,INTERTIDAL,Robot,50 x 50,0,DSCN8610,Photoquadrat Robot,X: 0 - 100% / Y: 0 - 100%,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,35.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,78.00,21.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
