Name,Annotation status,Annotation area,A,BRY,CNCA,CNTR,CR,CRB,ESS,ESU,MOB,MOCH,MOG,SP,WPOT,SU,SC,LICHEN,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAENR,MAF,MAG,MALA,MALCB,MAS
USMECH201905_190_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,27.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.000,0.000,0.000,0.000,0.000,65.000,0.000,1.000,0.000,0.000,0.000,1.000,0.000,0.000
USMECH201905_190_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,66.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_191_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,30.000,0.000,0.000,9.000,0.000,0.000,0.000,0.000,0.000,21.000,0.000,0.000,0.000,0.000,35.000,0.000,0.000,0.000,0.000,0.000,5.000,0.000,0.000
USMECH201905_191_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,33.000,0.000,0.000,3.000,0.000,0.000,0.000,0.000,0.000,11.000,0.000,1.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_191_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,34.000,0.000,0.000,8.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,31.000,4.000,1.000,0.000,0.000,0.000,8.000,0.000,0.000
USMECH201905_191_low_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,32.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,14.000,0.000,0.000,0.000,0.000,51.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_192_low_(2).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,51.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_192_low_(2)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,52.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_192_low_(3).JPG,Confirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,49.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,2.000,0.000,1.000,0.000,0.000,47.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
USMECH201905_192_low_(3)_robot.JPG,Unconfirmed,X: 0 - 100% / Y: 0 - 100%,0.000,0.000,0.000,0.000,0.000,48.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
