Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC
CO_GI_PV_LT_20181012_Q08,visual,CO,PV,LT,0,0,0,0,0,0,0,0,37,0,0,0,0
CO_GI_PV_LT_20181012_Q09,visual,CO,PV,LT,0,0,0,0,0,0,0,0,21,0,0,0,0
CO_GI_PV_LT_20181012_Q10,visual,CO,PV,LT,0,0,0,0,0,0,0,0,34,0,0,0,0
CO_GI_PV_MT_20181012_Q01,visual,CO,PV,MT,0,0,0,0,0,0,0,48,50,0,0,0,0
CO_GI_PV_MT_20181012_Q02,visual,CO,PV,MT,0,0,0,0,0,0,0,2,98,0,0,0,0
CO_GI_PV_MT_20181012_Q03,visual,CO,PV,MT,0,0,0,0,0,0,0,86,14,0,0,0,0
CO_GI_PV_MT_20181012_Q04,visual,CO,PV,MT,0,0,0,0,0,0,0,6,39,0,0,0,0
CO_GI_PV_MT_20181012_Q05,visual,CO,PV,MT,0,0,0,0,0,0,0,5,82,0,0,0,0
CO_GI_PV_MT_20181012_Q06,visual,CO,PV,MT,0,0,0,0,0,0,0,0,99,0,0,0,0
CO_GI_PV_MT_20181012_Q07,visual,CO,PV,MT,0,0,0,0,0,0,0,8,76,0,0,0,0
CO_GI_PV_MT_20181012_Q08,visual,CO,PV,MT,0,0,0,0,0,0,0,25,50,0,0,0,0
CO_GI_PV_MT_20181012_Q09,visual,CO,PV,MT,0,0,0,0,0,0,0,28,65,0,0,0,0
CO_GI_PV_MT_20181012_Q10,visual,CO,PV,MT,0,0,0,0,0,0,0,16,65,0,0,0,0
EC_SX_CD_HT_20190327_Q01,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q02,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q03,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q04,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q05,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q06,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q07,visual,EC,CD,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_HT_20190327_Q08,visual,EC,CD,HT,0,0,0,0,0,0,0,0,98,0,0,0,0
EC_SX_CD_HT_20190327_Q09,visual,EC,CD,HT,0,0,0,0,0,0,0,0,92,0,0,0,0
EC_SX_CD_HT_20190327_Q10,visual,EC,CD,HT,0,0,0,0,0,0,0,0,93,0,0,0,0
EC_SX_CD_LT_20190327_Q01,visual,EC,CD,LT,0,3,0,0,0,0,0,0,89,0,0,0,0
EC_SX_CD_LT_20190327_Q02,visual,EC,CD,LT,0,0,0,0,0,0,0,0,89,0,0,0,0
EC_SX_CD_LT_20190327_Q03,visual,EC,CD,LT,0,0,0,0,0,0,0,0,95,0,0,0,0
EC_SX_CD_LT_20190327_Q04,visual,EC,CD,LT,0,0,0,0,0,0,0,0,97,0,0,0,0
EC_SX_CD_LT_20190327_Q05,visual,EC,CD,LT,0,0,0,0,0,0,0,0,86,0,0,0,0
EC_SX_CD_LT_20190327_Q06,visual,EC,CD,LT,0,6,0,0,0,0,0,0,91,0,0,0,0
EC_SX_CD_LT_20190327_Q07,visual,EC,CD,LT,0,0,0,0,0,0,0,0,76,0,0,0,0
EC_SX_CD_LT_20190327_Q08,visual,EC,CD,LT,0,0,0,0,0,0,0,0,47,0,0,0,0
EC_SX_CD_LT_20190327_Q09,visual,EC,CD,LT,0,0,0,0,0,0,0,9,63,0,0,0,0
EC_SX_CD_LT_20190327_Q10,visual,EC,CD,LT,0,0,0,0,0,0,0,0,79,0,0,0,0
EC_SX_CD_MT_20190327_Q01,visual,EC,CD,MT,0,0,0,0,0,0,0,0,94,0,0,0,0
EC_SX_CD_MT_20190327_Q02,visual,EC,CD,MT,0,0,0,0,0,0,0,0,99,0,0,0,0
EC_SX_CD_MT_20190327_Q03,visual,EC,CD,MT,0,0,0,0,0,0,0,0,98,0,0,0,0
EC_SX_CD_MT_20190327_Q04,visual,EC,CD,MT,0,0,0,0,0,0,0,0,96,0,0,0,0
EC_SX_CD_MT_20190327_Q05,visual,EC,CD,MT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_MT_20190327_Q06,visual,EC,CD,MT,0,0,0,0,0,0,0,0,98,0,0,0,0
EC_SX_CD_MT_20190327_Q07,visual,EC,CD,MT,0,0,0,0,0,0,0,0,90,0,0,0,0
EC_SX_CD_MT_20190327_Q08,visual,EC,CD,MT,0,0,0,0,0,0,0,0,95,0,0,0,0
EC_SX_CD_MT_20190327_Q09,visual,EC,CD,MT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_CD_MT_20190327_Q10,visual,EC,CD,MT,0,0,0,2,0,0,0,0,98,0,0,0,0
EC_SX_RA_HT_20190328_Q01,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q02,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q03,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q04,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q05,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q06,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q07,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q08,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q09,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_HT_20190328_Q10,visual,EC,RA,HT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_LT_20190328_Q01,visual,EC,RA,LT,0,0,0,0,0,0,0,0,60,0,0,0,0
EC_SX_RA_LT_20190328_Q02,visual,EC,RA,LT,0,0,0,0,0,0,0,0,91,0,0,0,0
EC_SX_RA_LT_20190328_Q03,visual,EC,RA,LT,0,0,0,6,0,0,0,0,90,0,0,0,0
EC_SX_RA_LT_20190328_Q04,visual,EC,RA,LT,0,0,2,2,0,0,0,0,90,0,0,0,0
EC_SX_RA_LT_20190328_Q05,visual,EC,RA,LT,0,0,1,0,0,0,0,0,94,0,0,0,0
EC_SX_RA_LT_20190328_Q06,visual,EC,RA,LT,0,0,1,0,0,0,0,0,16,0,0,0,0
EC_SX_RA_LT_20190328_Q07,visual,EC,RA,LT,0,0,0,0,0,0,0,0,80,0,0,0,0
EC_SX_RA_LT_20190328_Q08,visual,EC,RA,LT,0,0,3,0,0,0,0,0,27,0,0,0,0
EC_SX_RA_LT_20190328_Q09,visual,EC,RA,LT,0,0,0,2,0,0,0,0,79,0,0,0,0
EC_SX_RA_LT_20190328_Q10,visual,EC,RA,LT,0,0,0,0,0,0,0,0,18,0,0,0,0
EC_SX_RA_MT_20190328_Q01,visual,EC,RA,MT,0,0,0,0,0,0,0,0,25,0,0,0,0
EC_SX_RA_MT_20190328_Q02,visual,EC,RA,MT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_MT_20190328_Q03,visual,EC,RA,MT,0,0,0,0,0,0,0,0,70,0,0,0,0
EC_SX_RA_MT_20190328_Q04,visual,EC,RA,MT,0,0,0,0,0,0,0,0,97,0,0,0,0
EC_SX_RA_MT_20190328_Q05,visual,EC,RA,MT,0,0,0,0,0,0,0,0,100,0,0,0,0
EC_SX_RA_MT_20190328_Q06,visual,EC,RA,MT,0,0,0,0,0,0,0,0,92,0,0,0,0
