Name,source,country,site,strata,CRB,MOB,CNTR,WPOT,SC,MAF,MAEN,MAA,MAG,MAS,MALCB,MOG,CNCA
EC_SX_CD_MT_20190327_Q04,visual,EC,CD,MT,0,0,0,0,96,4,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q05,visual,EC,CD,MT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q06,visual,EC,CD,MT,0,0,0,0,98,2,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q07,visual,EC,CD,MT,0,0,0,0,90,0,10,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q08,visual,EC,CD,MT,0,0,0,0,95,2,3,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q09,visual,EC,CD,MT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_CD_MT_20190327_Q10,visual,EC,CD,MT,2,0,0,0,98,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q01,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q02,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q03,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q04,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q05,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q06,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q07,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q08,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q09,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_HT_20190328_Q10,visual,EC,RA,HT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q01,visual,EC,RA,LT,0,0,0,0,60,32,3,0,0,5,0,0,0
EC_SX_RA_LT_20190328_Q02,visual,EC,RA,LT,0,0,0,0,91,0,9,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q03,visual,EC,RA,LT,6,0,0,0,90,0,4,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q04,visual,EC,RA,LT,2,0,2,0,90,0,6,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q05,visual,EC,RA,LT,0,0,1,0,94,0,5,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q06,visual,EC,RA,LT,0,0,1,0,16,83,0,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q07,visual,EC,RA,LT,0,0,0,0,80,17,3,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q08,visual,EC,RA,LT,0,0,3,0,27,65,5,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q09,visual,EC,RA,LT,2,0,0,0,79,5,14,0,0,0,0,0,0
EC_SX_RA_LT_20190328_Q10,visual,EC,RA,LT,0,0,0,0,18,82,0,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q01,visual,EC,RA,MT,0,0,0,0,25,75,0,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q02,visual,EC,RA,MT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q03,visual,EC,RA,MT,0,0,0,0,70,20,10,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q04,visual,EC,RA,MT,0,0,0,0,97,0,3,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q05,visual,EC,RA,MT,0,0,0,0,100,0,0,0,0,0,0,0,0
EC_SX_RA_MT_20190328_Q06,visual,EC,RA,MT,0,0,0,0,92,0,8,0,0,0,0,0,0
