Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,SHAD,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
AR_PM_PL_MT_20181026_Q05,human,AR,PL,MT,0,0,0,0,89,0,0,0,0,0,0,5,0,0,0,2,0,0,0,4
AR_PM_PL_MT_20181026_Q06,human,AR,PL,MT,0,0,0,0,82,0,0,0,7,0,0,3,0,0,4,1,0,0,0,3
AR_PM_PL_MT_20181026_Q07,human,AR,PL,MT,0,0,0,1,74,0,0,0,1,0,0,14,0,0,5,0,0,0,0,5
AR_PM_PL_MT_20181026_Q08,human,AR,PL,MT,0,0,0,0,94,0,0,0,1,0,0,2,0,0,1,2,0,0,0,0
AR_PM_PL_MT_20181026_Q09,human,AR,PL,MT,0,0,0,0,93,0,0,0,0,0,0,3,0,0,3,0,0,0,0,1
AR_PM_PL_MT_20181026_Q10,human,AR,PL,MT,0,0,0,0,90,0,0,0,4,0,0,3,0,0,1,1,0,0,0,1
CO_GI_LM_HT_20181014_Q01,human,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q02,human,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q03,human,CO,LM,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q04,human,CO,LM,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q05,human,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q06,human,CO,LM,HT,0,0,0,0,0,0,0,0,99,0,1,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q07,human,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q08,human,CO,LM,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q09,human,CO,LM,HT,0,0,0,0,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_HT_20181014_Q10,human,CO,LM,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q01,human,CO,LM,LT,0,0,0,0,0,1,0,0,98,0,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_LT_20181014_Q02,human,CO,LM,LT,0,0,0,0,0,0,0,0,92,0,0,0,0,0,2,6,0,0,0,0
