Name,source,country,site,strata,BRY,CNCA,CNTR,CRB,MOB,MOG,SP,WPOT,SC,Unc,MAA,MAEC,MAEF,MAEN,MAF,MAG,MALA,MALCB,MAS
CO_GI_LM_LT_20181014_Q08,robot,CO,LM,LT,0,0,0,0,0,0,0,0,95,0,0,0,0,5,0,0,0,0,0
CO_GI_LM_LT_20181014_Q09,robot,CO,LM,LT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_LT_20181014_Q10,robot,CO,LM,LT,0,0,0,0,0,0,0,0,89,0,0,0,0,10,1,0,0,0,0
CO_GI_LM_MT_20181014_Q01,robot,CO,LM,MT,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_MT_20181014_Q02,robot,CO,LM,MT,0,0,0,0,0,0,0,0,99,1,0,0,0,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q03,robot,CO,LM,MT,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_MT_20181014_Q04,robot,CO,LM,MT,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_MT_20181014_Q05,robot,CO,LM,MT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LM_MT_20181014_Q06,robot,CO,LM,MT,0,0,0,0,0,0,0,0,99,0,0,0,0,1,0,0,0,0,0
CO_GI_LM_MT_20181014_Q07,robot,CO,LM,MT,0,0,0,0,0,0,0,0,78,0,0,0,0,22,0,0,0,0,0
CO_GI_LM_MT_20181014_Q08,robot,CO,LM,MT,0,0,0,0,0,0,0,0,92,0,0,0,0,8,0,0,0,0,0
CO_GI_LM_MT_20181014_Q09,robot,CO,LM,MT,0,0,0,0,0,0,0,0,73,0,0,0,0,27,0,0,0,0,0
CO_GI_LM_MT_20181014_Q10,robot,CO,LM,MT,0,0,0,0,0,0,0,0,71,0,0,0,0,26,3,0,0,0,0
CO_GI_LV_HT_20181010_Q01,robot,CO,LV,HT,0,0,0,0,0,0,0,0,99,0,0,0,0,0,1,0,0,0,0
CO_GI_LV_HT_20181010_Q02,robot,CO,LV,HT,0,0,0,0,0,0,0,0,98,0,0,0,0,2,0,0,0,0,0
CO_GI_LV_HT_20181010_Q03,robot,CO,LV,HT,0,0,0,0,0,3,0,0,97,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q04,robot,CO,LV,HT,0,0,0,0,0,2,0,0,91,7,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q05,robot,CO,LV,HT,0,0,0,0,0,0,0,0,97,0,0,0,0,3,0,0,0,0,0
CO_GI_LV_HT_20181010_Q06,robot,CO,LV,HT,0,0,0,0,0,4,0,0,96,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q07,robot,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q08,robot,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q09,robot,CO,LV,HT,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_HT_20181010_Q10,robot,CO,LV,HT,0,0,0,0,0,1,0,0,99,0,0,0,0,0,0,0,0,0,0
CO_GI_LV_LT_20181011_Q01,robot,CO,LV,LT,0,0,0,0,0,0,0,0,16,0,0,0,0,3,81,0,0,0,0
CO_GI_LV_LT_20181011_Q02,robot,CO,LV,LT,0,0,0,0,0,0,0,0,31,0,0,0,0,69,0,0,0,0,0
CO_GI_LV_LT_20181011_Q03,robot,CO,LV,LT,0,0,0,0,0,0,0,0,19,0,0,0,0,8,73,0,0,0,0
CO_GI_LV_LT_20181011_Q04,robot,CO,LV,LT,0,0,0,0,0,0,0,0,9,0,1,0,0,1,89,0,0,0,0
CO_GI_LV_LT_20181011_Q05,robot,CO,LV,LT,0,0,0,0,0,0,0,0,14,0,0,0,0,28,58,0,0,0,0
CO_GI_LV_LT_20181011_Q06,robot,CO,LV,LT,0,0,0,0,0,1,0,0,5,0,16,0,0,19,59,0,0,0,0
CO_GI_LV_LT_20181011_Q07,robot,CO,LV,LT,0,0,0,0,0,0,0,0,20,0,7,0,0,63,10,0,0,0,0
CO_GI_LV_LT_20181011_Q08,robot,CO,LV,LT,0,0,0,0,0,0,0,2,25,0,0,0,0,4,69,0,0,0,0
CO_GI_LV_LT_20181011_Q09,robot,CO,LV,LT,0,0,0,0,0,0,0,1,40,0,0,0,0,3,56,0,0,0,0
